problem_type,param1_name,param1_value,param2_name,param2_value,param3_name,param3_value,param4_name,param4_value,param5_name,param5_value,param6_name,param6_value,param7_name,param7_value,param8_name,param8_value,param9_name,param9_value,param10_name,param10_value,x0,x1,tolerance,max_iterations,solution,iterations,converged,error,time_ms
diode,I_s,1e-012,n,1.5,V_t,0.02585,I,0.001,NA,0,,,,,,,,,,,0.5,0.8,1e-006,100,0.803549,3,yes,0.000306503,1
diode,I_s,2e-012,n,1.2,V_t,0.02585,I,0.002,NA,0,,,,,,,,,,,0.6,0.9,1e-006,100,0.642836,9,yes,2.4069e-005,2
diode,I_s,5e-013,n,1.7,V_t,0.02585,I,0.0005,NA,0,,,,,,,,,,,0.7,0.75,1e-006,100,0.910693,23,yes,0.000296554,4
diode,I_s,1e-013,n,1,V_t,0.02585,I,0.0001,NA,0,,,,,,,,,,,0.4,0.7,1e-006,100,1.39878,4,no,0.427604,1
diode,I_s,3e-012,n,2,V_t,0.02585,I,0.003,NA,0,,,,,,,,,,,0.6,0.8,1e-006,100,8.92658,2,no,3.48281,2
diode,I_s,8e-013,n,1.3,V_t,0.02585,I,0.0008,NA,0,,,,,,,,,,,0.5,0.75,1e-006,100,0.696419,18,yes,0.000344195,11
diode,I_s,1.5e-012,n,1.8,V_t,0.02585,I,0.0015,NA,0,,,,,,,,,,,0.65,0.85,1e-006,100,0.964255,20,yes,0.000110216,14
diode,I_s,4e-013,n,1.1,V_t,0.02585,I,0.0004,NA,0,,,,,,,,,,,0.45,0.7,1e-006,100,0.589279,39,yes,0.000302246,17
diode,I_s,6e-012,n,1.6,V_t,0.02585,I,0.004,NA,0,,,,,,,,,,,0.7,0.9,1e-006,100,0.840346,11,yes,0.000122805,17
diode,I_s,2.5e-013,n,1.4,V_t,0.02585,I,0.00025,NA,0,,,,,,,,,,,0.55,0.8,1e-006,100,0.750039,14,yes,0.000330176,34
diode,I_s,1e-011,n,1.9,V_t,0.02585,I,0.005,NA,0,,,,,,,,,,,0.6,0.85,1e-006,100,0.983779,26,yes,2.26217e-005,36
diode,I_s,7e-013,n,1.2,V_t,0.02585,I,0.0007,NA,0,,,,,,,,,,,0.5,0.75,1e-006,100,0.642837,26,yes,7.52275e-005,43
diode_resistor,I_s,1e-012,n,1.5,V_t,0.02585,R,1000,Vs,5,,,,,,,,,,,0.6,0.8,1e-006,100,0.858649,13,yes,5.55019e-005,5
diode_resistor,I_s,2e-012,n,1.3,V_t,0.02585,R,2200,Vs,3.3,,,,,,,,,,,0.5,0.7,1e-007,100,0.678995,7,yes,7.52394e-005,1
diode_resistor,I_s,5e-013,n,1.7,V_t,0.02585,R,4700,Vs,12,,,,,,,,,,,0.7,0.9,1e-006,100,0.978598,14,yes,4.99146e-005,5
diode_resistor,I_s,1e-013,n,1.1,V_t,0.02585,R,680,Vs,3.3,,,,,,,,,,,0.4,0.6,1e-006,100,0.692958,23,yes,0.000158795,5
diode_resistor,I_s,3e-012,n,2,V_t,0.02585,R,1500,Vs,9,,,,,,,,,,,0.6,0.8,1e-006,100,2.33901,2,yes,5.69843e-007,1
diode_resistor,I_s,8e-013,n,1.4,V_t,0.02585,R,3300,Vs,6,,,,,,,,,,,0.5,0.75,1e-006,100,0.774705,6,yes,0.000470878,2
diode_resistor,I_s,1.5e-012,n,1.8,V_t,0.02585,R,560,Vs,5,,,,,,,,,,,0.65,0.85,1e-006,100,1.03644,24,yes,6.89191e-006,4
diode_resistor,I_s,4e-013,n,1.2,V_t,0.02585,R,10000,Vs,15,,,,,,,,,,,0.7,0.9,1e-006,100,0.682393,5,yes,6.36558e-005,2
diode_resistor,I_s,6e-012,n,1.6,V_t,0.02585,R,820,Vs,3.3,,,,,,,,,,,0.45,0.7,1e-006,100,0.828637,18,yes,2.79191e-005,14
diode_resistor,I_s,2.5e-013,n,1.3,V_t,0.02585,R,2700,Vs,9,,,,,,,,,,,0.55,0.8,1e-006,100,0.780409,8,yes,0.000196919,4
diode_resistor,I_s,1e-011,n,1.9,V_t,0.02585,R,1200,Vs,12,,,,,,,,,,,0.6,0.85,1e-006,100,1.01349,25,yes,5.26236e-005,7
diode_resistor,I_s,7e-013,n,1.5,V_t,0.02585,R,390,Vs,3.3,,,,,,,,,,,0.5,0.75,1e-006,100,0.888025,20,yes,1.76277e-005,6
diode_resistor,I_s,9e-013,n,1.1,V_t,0.02585,R,6800,Vs,24,,,,,,,,,,,0.8,1,1e-006,100,0.627369,14,yes,1.45333e-005,3
diode_resistor,I_s,1.2e-012,n,1.7,V_t,0.02585,R,470,Vs,5,,,,,,,,,,,0.6,0.8,1e-006,100,0.996807,27,yes,3.04977e-005,4
diode_resistor,I_s,3.5e-013,n,1.4,V_t,0.02585,R,5600,Vs,18,,,,,,,,,,,0.7,0.9,1e-006,100,0.828525,13,yes,2.38632e-005,2
diode_resistor,I_s,1.8e-012,n,1.6,V_t,0.02585,R,910,Vs,6,,,,,,,,,,,0.55,0.75,1e-006,100,0.904057,28,yes,1.24791e-005,7
diode_resistor,I_s,4.5e-013,n,1.8,V_t,0.02585,R,12000,Vs,30,,,,,,,,,,,0.8,1.1,1e-006,100,1.0424,14,yes,2.32209e-005,2
diode_resistor,I_s,8.5e-013,n,1.2,V_t,0.02585,R,330,Vs,3.3,,,,,,,,,,,0.45,0.65,1e-006,100,0.711768,15,yes,4.38259e-005,2
diode_resistor,I_s,2.8e-012,n,2.1,V_t,0.02585,R,1800,Vs,15,,,,,,,,,,,0.7,0.9,1e-006,100,3.01879,2,yes,1.48109e-008,1
